name_nm,status_ky,last_upd_src_sys_ky,error_flag_in,participant_no,change_ind,date_of_birth,date_of_death,channelset_ky,talent_type_ky,preferred_flag,isni,language_ky
Robbie Nevil,R,1,,71273,1.0,,,,1.0,N,,21.0
Meleni Smith,R,1,,471318,1.0,,,,1.0,Y,,21.0
Nick Sheppard,R,1,,797240,1.0,,,,1.0,N,,21.0
RL,R,1,,169053,1.0,,,,1.0,N,,21.0
Mick Guzauski,R,1,,125576,1.0,,,,1.0,Y,,21.0
Danny López,R,1,,410763,1.0,,,,1.0,N,,21.0
"LaShawn ""The Big Shiz"" Daniels",R,1,,248741,1.0,,,,1.0,N,,21.0
Neil Damy,R,1,,1527156,1.0,,,,1.0,N,,21.0
Manuel Eduardo Toscano,R,1,,386311,1.0,,,,1.0,N,,21.0
Patrich Mahoney,R,1,,1482946,1.0,,,,1.0,N,,21.0
Giovanni de Macque,R,1,,102484,1.0,,1614-01-01 00:00:00,,1.0,N,,21.0
Grupo Fernández,R,1,,1530208,1.0,,,,15.0,N,,21.0
Vince White,R,1,,797296,1.0,,,,1.0,N,,21.0
C. Northington,R,1,,169082,1.0,,,,1.0,N,,21.0
T. Boykin,R,1,,770511,1.0,,,,1.0,N,,21.0
Joe,R,1,,77827,1.0,,,,1.0,N,,21.0
Javier García,R,1,,718808,1.0,,,,1.0,N,,21.0
J. Carmelo Frayle,R,1,,351505,1.0,,,,1.0,N,,21.0
Joe Ely,R,1,,1042152,1.0,,,,1.0,N,,21.0
Ricky Martin,R,1,,146885,1.0,,,,1.0,Y,,21.0
The Clash,R,1,,162033,1.0,,,,15.0,Y,,21.0
D. Sembello,R,1,,163642,1.0,,,,1.0,N,,21.0
Roman Holý,R,1,,600463,1.0,,,,1.0,N,,21.0
Jan Pieterszoon Sweelinck,R,1,,100360,1.0,,,,1.0,N,,21.0
Keir Gist,R,1,,131600,1.0,,,,1.0,N,,21.0
Sergio Diamante,R,1,,370387,1.0,,,,1.0,N,,21.0
César Lemos,R,1,,446440,1.0,,,,1.0,N,,21.0
Tarquinio Merula,R,1,,45930,1.0,1595-11-25 00:00:00,1665-12-10 00:00:00,,1.0,N,,21.0
Mario Luccy,R,1,,166932,1.0,,,,1.0,N,,21.0
George Pajon Jr.,R,1,,563891,1.0,,,,1.0,N,,21.0
Nick B. Headon,R,1,,434026,1.0,,,,1.0,N,,21.0
N. Renee,R,1,,145464,1.0,,,,1.0,N,,21.0
Schon J. Crawford,R,1,,169045,1.0,,,,1.0,N,,21.0
Gerard Smerek,R,1,,163409,1.0,,,,1.0,N,,21.0
Isidro Coronel,R,1,,511482,1.0,,,,1.0,N,,21.0
Deborah Cox,R,1,,79569,1.0,,,,1.0,N,,21.0
Rick Leon,R,1,,370393,1.0,,,,1.0,N,,21.0
Giovanni Picchi,R,1,,102482,1.0,,1643-05-17 00:00:00,,1.0,N,,21.0
Paulo Massadas,R,1,,84541,1.0,,,,1.0,N,,21.0
Paul Simonon,R,1,,417706,1.0,,,,1.0,N,,21.0
A. Cervantes,R,1,,224695,1.0,,,,1.0,N,,21.0
Hosh Gureli,R,1,,153478,1.0,,,,1.0,N,,21.0
R.L.,R,1,,362910,1.0,,,,1.0,N,,21.0
Donald Smith,R,1,,158799,1.0,,,,1.0,Y,,21.0
Victor Júnior,R,1,,318912,1.0,,,,1.0,N,,21.0
Gimel Keaton,R,1,,195753,1.0,,,,1.0,N,,21.0
No-ID,R,1,,770515,1.0,,,,1.0,N,,21.0
Phil McCarthur,R,1,,981249,1.0,,,,1.0,N,,21.0
Kelvin Lennox,R,1,,105910,1.0,,,,1.0,N,,21.0
Chucho Monge,R,1,,146117,1.0,,,,1.0,N,,21.0
Deborah Cox with R.L.,R,1,,169052,1.0,,,,16.0,N,,21.0
Skero,R,1,,636456,1.0,,,,1.0,N,,21.0
Anonymous,R,1,,14618,1.0,,,,1.0,N,,21.0
